"","Seattle","Cambridge","Montreal","Brisbane","Prague"
"Living cost","0.83","1","0.83","1.18","0.66","","GBP","1.63"
"Salary (year)","67905 USD","34268 GBP","58865 CAD","59871 AUD","19098 USD","","CAD","1.01"
"Edu (month)","1080 USD","1442 USD","973 USD","1028 USD","75 USD","","AUD","1.05"
"Extra costs","250 USD","","","","","","EUR","1.32"
"","","","","","","","USD","1"
"RESULT","2135 USD","570 USD","1788 USD","1092 USD","-228 USD"
"","","","","","Not enough!","","Child expense (month)","521 GBP"
"","","","","","","","Personal expense (month)","1100 GBP"
